region,density
Metropolitan Manila,54.8
Ilocos Norte,2354
Ilocos Sur,2009
La Union,1888
Pangasinan,1675
Abra,2454
Apayao,1386
Benguet,2926
Ifugao,2926
Kalinga,2329
Mountain Province,2717
Batanes,1009
Cagayan,1811
Isabela,1785
Nueva Vizcaya,2926
Quirino,1456
Aurora,1819
Bataan,1388
Bulacan,1206
Nueva Ecija,1673
Pampanga,1486
Tarlac,1806
Zambales,2037
Batangas,1090
Cavite,716
Laguna,2170
Quezon,2170
Rizal,1448
Marinduque,1157
Occidental Mindoro,2488
Oriental Mindoro,2586
Palawan,2085
Romblon,2058
Albay,2463
Camarines Norte,1544
Camarines Sur,2012
Catanduanes,803
Masbate,684
Sorsogon,1565
Aklan,1650
Antique,2117
Capiz,2073
Guimaras,267
Iloilo,1920
Negros Occidental,2465
Bohol,870
Cebu,1097
Negros Oriental,2465
Siquijor,628
Biliran,1340
Eastern Samar,590
Leyte,1348
Northern Samar,500
Samar,850
Southern Leyte,948
Zamboanga del Norte,2600
Zamboanga del Sur,1562
Zamboanga Sibugay,1335
Bukidnon,2941
Camiguin,1713
Lanao del Norte,1535
Misamis Occidental,2404
Misamis Oriental,2450
Compostela Valley,2670
Davao del Norte,1590
Davao del Sur,2954
Davao Occidental,1612
Davao Oriental,1620
North Cotabato,2954
Sarangani,2064
South Cotabato,2286
Sultan Kudarat,1135
Agusan del Norte,1920
Agusan del Sur,633
Dinagat Islands,939
Surigao del Norte,524
Surigao del Sur,553
Basilan,971
Lanao del Sur,2815
Maguindanao,813
Sulu,620
Tawi-Tawi,535
Cotabato City,11
