region,density
Metropolitan Manila,21000
Ilocos Norte,170
Ilocos Sur,270
La Union,530
Pangasinan,540
Abra,58
Apayao,27
Benguet,160
Ifugao,77
Kalinga,66
Mountain Province,72
Batanes,79
Cagayan,130
Isabela,130
Nueva Vizcaya,110
Quirino,81
Aurora,68
Bataan,550
Bulacan,1200
Nueva Ecija,370
Pampanga,1100
Tarlac,450
Zambales,160
Batangas,860
Cavite,2300
Laguna,1600
Quezon,210
Rizal,2400
Marinduque,250
Occidental Mindoro,83
Oriental Mindoro,200
Palawan,58
Romblon,190
Albay,510
Camarines Norte,250
Camarines Sur,360
Catanduanes,170
Masbate,210
Sorsogon,370
Aklan,320
Antique,210
Capiz,290
Guimaras,290
Iloilo,390
Negros Occidental,320
Bohol,270
Cebu,590
Negros Oriental,250
Siquijor,280
Biliran,320
Eastern Samar,100
Leyte,270
Northern Samar,170
Samar,130
Southern Leyte,230
Zamboanga del Norte,140
Zamboanga del Sur,220
Zamboanga Sibugay,180
Bukidnon,130
Camiguin,370
Lanao del Norte,200
Misamis Occidental,290
Misamis Oriental,280
Compostela Valley,160
Davao del Norte,300
Davao del Sur,290
Davao Occidental,150
Davao Oriental,98
North Cotabato,150
Sarangani,150
South Cotabato,230
Sultan Kudarat,150
Agusan del Norte,130
Agusan del Sur,70
Dinagat Islands,120
Surigao del Norte,250
Surigao del Sur,120
Basilan,310
Lanao del Sur,270
Maguindanao,240
Sulu,520
Tawi-Tawi,360
Cotabato City,17000
